Date (Mth),Transaction Type, Number 
Nov-13,Sales - Off Plan," 1,076 "
Nov-13,Sales - Ready," 2,119 "
Oct-13,Sales - Off Plan," 1,666 "
Oct-13,Sales - Ready," 4,757 "
Sep-13,Sales - Off Plan," 1,515 "
Sep-13,Sales - Ready," 3,957 "
Aug-13,Sales - Ready," 2,069 "
Aug-13,Sales - Off Plan, 444 
Jul-13,Sales - Off Plan, 881 
Jul-13,Sales - Ready," 2,922 "
Jun-13,Sales - Off Plan, 765 
Jun-13,Sales - Ready," 2,711 "
May-13,Sales - Off Plan, 697 
May-13,Sales - Ready," 3,092 "
Apr-13,Sales - Off Plan, 527 
Apr-13,Sales - Ready," 2,918 "
Mar-13,Sales - Ready," 2,803 "
Mar-13,Sales - Off Plan, 452 
Feb-13,Sales - Ready," 2,710 "
Feb-13,Sales - Off Plan, 565 
Jan-13,Sales - Off Plan, 478 
Jan-13,Sales - Ready," 2,609 "
Dec-12,Sales - Ready," 3,890 "
Dec-12,Sales - Off Plan, 469 
Nov-12,Sales - Off Plan, 696 
Nov-12,Sales - Ready," 1,860 "
Oct-12,Sales - Off Plan, 454 
Oct-12,Sales - Ready," 2,459 "
Sep-12,Sales - Off Plan, 355 
Sep-12,Sales - Ready," 1,993 "
Aug-12,Sales - Off Plan, 230 
Aug-12,Sales - Ready," 1,204 "
Jul-12,Sales - Off Plan, 569 
Jul-12,Sales - Ready," 1,761 "
Jun-12,Sales - Off Plan, 312 
Jun-12,Sales - Ready," 1,520 "
May-12,Sales - Off Plan, 288 
May-12,Sales - Ready," 1,781 "
Apr-12,Sales - Off Plan, 221 
Apr-12,Sales - Ready," 1,904 "
Mar-12,Sales - Off Plan, 337 
Mar-12,Sales - Ready," 1,782 "
Feb-12,Sales - Ready," 1,872 "
Feb-12,Sales - Off Plan, 271 
Jan-12,Sales - Ready," 1,926 "
Jan-12,Sales - Off Plan, 251 
Dec-11,Sales - Ready," 1,964 "
Dec-11,Sales - Off Plan, 223 
Nov-11,Sales - Off Plan, 185 
Nov-11,Sales - Ready," 1,180 "
Oct-11,Sales - Ready," 1,689 "
Oct-11,Sales - Off Plan, 381 
Sep-11,Sales - Off Plan, 323 
Sep-11,Sales - Ready," 1,201 "
Aug-11,Sales - Ready," 1,228 "
Aug-11,Sales - Off Plan, 340 
Jul-11,Sales - Off Plan, 463 
Jul-11,Sales - Ready," 1,711 "
Jun-11,Sales - Ready," 1,548 "
Jun-11,Sales - Off Plan, 277 
