Date (Mth),Transaction Type, Value (AED Billions) 
Dec-14,Sales - Off Plan," 3,164,025,737 "
Nov-14,Sales - Ready," 4,288,831,440 "
Nov-14,Sales - Off Plan," 2,638,421,710 "
Oct-14,Sales - Off Plan," 3,934,408,247 "
Oct-14,Sales - Ready," 3,606,198,729 "
Sep-14,Sales - Ready," 3,318,328,781 "
Sep-14,Sales - Off Plan," 2,150,827,654 "
Aug-14,Sales - Off Plan," 2,006,934,389 "
Aug-14,Sales - Ready," 3,129,830,178 "
Jul-14,Sales - Off Plan," 1,192,149,363 "
Jul-14,Sales - Ready," 2,938,905,215 "
Jun-14,Sales - Off Plan," 2,665,948,290 "
Jun-14,Sales - Ready," 4,884,161,687 "
May-14,Sales - Off Plan," 1,938,112,666 "
May-14,Sales - Ready," 4,385,699,796 "
Apr-14,Sales - Ready," 6,099,667,576 "
Apr-14,Sales - Off Plan," 2,222,632,644 "
Mar-14,Sales - Ready," 6,228,918,194 "
Mar-14,Sales - Off Plan," 2,224,169,942 "
Feb-14,Sales - Ready," 4,053,644,496 "
Feb-14,Sales - Off Plan," 882,925,669 "
Jan-14,Sales - Off Plan," 2,202,991,801 "
Jan-14,Sales - Ready," 4,590,148,847 "
Dec-13,Sales - Off Plan," 7,595,319,565 "
Dec-13,Sales - Ready," 5,508,915,699 "
Nov-13,Sales - Ready," 4,246,479,492 "
Nov-13,Sales - Off Plan," 2,140,894,670 "
Oct-13,Sales - Off Plan," 3,718,638,901 "
Oct-13,Sales - Ready," 8,593,309,985 "
Sep-13,Sales - Ready," 6,745,205,034 "
Sep-13,Sales - Off Plan," 2,071,538,649 "
Aug-13,Sales - Off Plan," 943,189,519 "
Aug-13,Sales - Ready," 3,693,553,021 "
Jul-13,Sales - Off Plan," 1,753,261,350 "
Jul-13,Sales - Ready," 5,930,720,544 "
Jun-13,Sales - Ready," 5,214,820,810 "
Jun-13,Sales - Off Plan," 1,493,095,423 "
May-13,Sales - Ready," 5,816,902,094 "
May-13,Sales - Off Plan," 1,404,346,442 "
Apr-13,Sales - Ready," 5,181,687,714 "
Apr-13,Sales - Off Plan," 991,960,698 "
Mar-13,Sales - Ready," 4,938,686,884 "
Mar-13,Sales - Off Plan," 985,120,175 "
Feb-13,Sales - Ready," 4,650,059,586 "
Feb-13,Sales - Off Plan," 843,595,709 "
Jan-13,Sales - Ready," 4,403,613,427 "
Jan-13,Sales - Off Plan," 1,772,429,137 "
Dec-12,Sales - Ready," 6,404,249,164 "
Dec-12,Sales - Off Plan," 968,540,281 "
Nov-12,Sales - Off Plan," 1,643,827,287 "
Nov-12,Sales - Ready," 3,106,604,991 "
Oct-12,Sales - Off Plan," 985,085,929 "
Oct-12,Sales - Ready," 3,692,849,142 "
Sep-12,Sales - Off Plan," 720,765,033 "
Sep-12,Sales - Ready," 2,984,825,105 "
Aug-12,Sales - Off Plan," 406,303,055 "
Aug-12,Sales - Ready," 1,966,929,709 "
Jul-12,Sales - Ready," 2,933,207,468 "
Jul-12,Sales - Off Plan," 751,603,270 "
Jun-12,Sales - Off Plan," 404,810,464 "
Jun-12,Sales - Ready," 2,709,228,176 "
May-12,Sales - Ready," 3,227,398,643 "
May-12,Sales - Off Plan," 447,288,810 "
Apr-12,Sales - Off Plan," 382,344,653 "
Apr-12,Sales - Ready," 3,435,228,128 "
Mar-12,Sales - Ready," 2,991,184,049 "
Mar-12,Sales - Off Plan," 442,083,568 "
Feb-12,Sales - Off Plan," 369,032,250 "
Feb-12,Sales - Ready," 2,969,117,559 "
Jan-12,Sales - Off Plan," 411,436,509 "
Jan-12,Sales - Ready," 2,664,198,140 "
Dec-11,Sales - Ready," 2,987,161,850 "
Dec-11,Sales - Off Plan," 296,497,116 "
Nov-11,Sales - Ready," 1,981,958,994 "
Nov-11,Sales - Off Plan," 287,795,763 "
Oct-11,Sales - Off Plan," 286,606,725 "
Oct-11,Sales - Ready," 2,641,326,987 "
Sep-11,Sales - Off Plan," 380,722,772 "
Sep-11,Sales - Ready," 2,055,579,027 "
Aug-11,Sales - Ready," 1,828,003,455 "
Aug-11,Sales - Off Plan," 715,291,742 "
Jul-11,Sales - Off Plan," 622,195,288 "
Jul-11,Sales - Ready," 2,991,505,281 "
Jun-11,Sales - Off Plan," 322,196,324 "
Jun-11,Sales - Ready," 2,598,207,623 "
May-11,Sales - Off Plan," 573,827,718 "
May-11,Sales - Ready," 2,701,343,146 "
Apr-11,Sales - Off Plan," 386,469,401 "
Apr-11,Sales - Ready," 3,164,899,842 "
Mar-11,Sales - Ready," 3,843,795,727 "
Mar-11,Sales - Off Plan," 307,805,302 "
Feb-11,Sales - Ready," 3,206,366,721 "
Feb-11,Sales - Off Plan," 156,190,965 "
Jan-11,Sales - Off Plan," 176,858,183 "
Jan-11,Sales - Ready," 3,522,458,084 "
Dec-10,Sales - Off Plan," 644,583,456 "
Dec-10,Sales - Ready," 2,102,267,813 "
Nov-10,Sales - Ready," 2,589,891,032 "
Nov-10,Sales - Off Plan," 14,387,392 "
Oct-10,Sales - Ready," 2,938,298,911 "
Oct-10,Sales - Off Plan," 664,824,694 "
Sep-10,Sales - Off Plan," 353,279,523 "
Sep-10,Sales - Ready," 2,253,473,090 "
Aug-10,Sales - Off Plan," 451,764,743 "
Aug-10,Sales - Ready," 4,592,266,604 "
Jul-10,Sales - Ready," 3,743,588,208 "
Jul-10,Sales - Off Plan," 481,436,265 "
Jun-10,Sales - Off Plan," 2,187,010,609 "
Jun-10,Sales - Ready," 4,034,082,015 "
May-10,Sales - Ready," 3,496,611,278 "
May-10,Sales - Off Plan," 1,157,635,561 "
Apr-10,Sales - Ready," 2,618,964,792 "
Apr-10,Sales - Off Plan," 3,329,743,583 "
Mar-10,Sales - Ready," 3,660,796,039 "
Mar-10,Sales - Off Plan," 9,267,564,780 "
Feb-10,Sales - Off Plan," 3,691,746,002 "
Feb-10,Sales - Ready," 2,545,491,113 "
Jan-10,Sales - Off Plan," 2,813,687,284 "
Jan-10,Sales - Ready," 1,296,478,335 "
Dec-09,Sales - Off Plan," 4,174,796,198 "
Dec-09,Sales - Ready," 4,912,832,061 "
Nov-09,Sales - Ready," 2,407,307,256 "
Nov-09,Sales - Off Plan," 1,876,512,674 "
Oct-09,Sales - Ready," 2,632,434,842 "
Oct-09,Sales - Off Plan," 2,910,198,945 "
Sep-09,Sales - Ready," 2,457,569,592 "
Sep-09,Sales - Off Plan," 3,599,162,351 "
Aug-09,Sales - Ready," 2,670,589,330 "
Aug-09,Sales - Off Plan," 8,793,652,802 "
Jul-09,Sales - Off Plan," 9,833,684,194 "
Jul-09,Sales - Ready," 2,679,800,459 "
Jun-09,Sales - Ready," 4,245,453,469 "
Jun-09,Sales - Off Plan," 14,002,686,405 "
May-09,Sales - Off Plan," 12,530,997,365 "
May-09,Sales - Ready," 2,702,955,398 "
Apr-09,Sales - Ready," 3,730,229,032 "
Apr-09,Sales - Off Plan," 10,568,912,481 "
Mar-09,Sales - Ready," 2,430,692,358 "
Mar-09,Sales - Off Plan," 4,751,805,568 "
Feb-09,Sales - Ready," 2,083,789,310 "
Feb-09,Sales - Off Plan," 2,717,250,715 "
Jan-09,Sales - Off Plan," 1,539,541,404 "
Jan-09,Sales - Ready," 2,934,855,101 "
Dec-08,Sales - Ready," 1,750,249,569 "
Dec-08,Sales - Off Plan," 1,836,000 "
Nov-08,Sales - Ready," 3,658,390,846 "
Nov-08,Sales - Off Plan," 13,260,018 "
Oct-08,Sales - Ready," 2,632,146,076 "
Oct-08,Sales - Off Plan," 2,795,000 "
Sep-08,Sales - Ready," 2,311,983,244 "
Sep-08,Sales - Off Plan," 4,704,344 "
Aug-08,Sales - Off Plan," 7,947,224 "
Aug-08,Sales - Ready," 3,447,914,861 "
Jul-08,Sales - Ready," 3,853,790,636 "
Jul-08,Sales - Off Plan," 10,008,688 "
Jun-08,Sales - Ready," 3,467,881,872 "
Jun-08,Sales - Off Plan," 4,809,320 "
May-08,Sales - Off Plan," 6,014,430 "
May-08,Sales - Ready," 3,506,359,404 "
Apr-08,Sales - Off Plan," 19,900,468 "
Apr-08,Sales - Ready," 3,718,583,221 "
Mar-08,Sales - Ready," 2,312,544,335 "
Mar-08,Sales - Off Plan," 6,733,517 "
Feb-08,Sales - Ready," 1,488,149,950 "
Feb-08,Sales - Off Plan," 19,167,716 "
Jan-08,Sales - Ready," 1,737,707,215 "
Jan-08,Sales - Off Plan," 9,899,987 "
Dec-07,Sales - Ready," 1,251,947,039 "
Dec-07,Sales - Off Plan," 7,308,802 "
Nov-07,Sales - Off Plan," 3,229,370 "
Nov-07,Sales - Ready," 1,337,808,112 "
Oct-07,Sales - Ready," 1,243,217,967 "
Oct-07,Sales - Off Plan," 20,209,940 "
Sep-07,Sales - Ready," 945,168,721 "
Sep-07,Sales - Off Plan," 16,321,912 "
Aug-07,Sales - Off Plan," 7,486,500 "
Aug-07,Sales - Ready," 821,840,613 "
Jul-07,Sales - Off Plan," 8,895,369 "
Jul-07,Sales - Ready," 1,186,963,106 "
Jun-07,Sales - Off Plan," 13,631,788 "
Jun-07,Sales - Ready," 807,001,033 "
May-07,Sales - Ready," 698,302,809 "
May-07,Sales - Off Plan," 5,656,000 "
Apr-07,Sales - Ready," 513,736,000 "
Apr-07,Sales - Off Plan," 15,303,888 "
Mar-07,Sales - Off Plan," 11,868,912 "
Mar-07,Sales - Ready," 694,923,384 "
Feb-07,Sales - Ready," 261,435,813 "
Feb-07,Sales - Off Plan," 3,498,738 "
Jan-07,Sales - Ready," 437,592,778 "
Jan-07,Sales - Off Plan," 6,646,626 "
