Date (Mth),Transaction Type, Value (AED Billions) , Number 
Jan-16,Sales - Off Plan," 1,028,927,506 "," 1,087 "
Dec-15,Sales - Ready," 2,267,373,953 "," 1,137 "
Dec-15,Sales - Off Plan," 1,306,723,696 ", 926 
Nov-15,Sales - Off Plan," 987,662,396 ", 732 
Nov-15,Sales - Ready," 2,991,601,160 "," 1,537 "
Oct-15,Sales - Off Plan," 3,420,612,293 "," 1,775 "
Oct-15,Sales - Ready," 3,628,161,663 "," 2,285 "
Sep-15,Sales - Off Plan," 2,279,289,838 "," 1,403 "
Sep-15,Sales - Ready," 2,891,140,347 "," 1,613 "
Aug-15,Sales - Ready," 3,346,184,123 "," 1,663 "
Aug-15,Sales - Off Plan," 2,750,581,475 "," 1,372 "
Jul-15,Sales - Off Plan," 2,117,166,945 "," 1,578 "
Jul-15,Sales - Ready," 4,031,513,318 "," 1,497 "
Jun-15,Sales - Off Plan," 3,781,478,685 "," 2,269 "
Jun-15,Sales - Ready," 7,428,273,890 "," 2,343 "
May-15,Sales - Ready," 3,422,544,785 "," 1,451 "
May-15,Sales - Off Plan," 2,230,905,386 "," 1,596 "
Apr-15,Sales - Off Plan," 1,911,224,913 "," 1,416 "
Apr-15,Sales - Ready," 3,204,204,184 ", 978 
Mar-15,Sales - Off Plan," 2,232,165,995 "," 1,884 "
Mar-15,Sales - Ready," 3,952,059,745 "," 1,092 "
Feb-15,Sales - Off Plan," 1,535,221,496 "," 1,827 "
Feb-15,Sales - Ready," 3,264,644,944 ", 949 
Jan-15,Sales - Off Plan," 2,465,320,882 "," 1,827 "
Jan-15,Sales - Ready," 3,156,522,243 "," 1,199 "
Dec-14,Sales - Ready," 3,623,759,361 "," 1,840 "
Dec-14,Sales - Off Plan," 3,164,025,737 "," 2,096 "
Nov-14,Sales - Ready," 4,288,831,440 "," 1,457 "
Nov-14,Sales - Off Plan," 2,638,421,710 "," 2,364 "
Oct-14,Sales - Off Plan," 3,934,408,247 "," 1,796 "
Oct-14,Sales - Ready," 3,606,198,729 "," 1,834 "
Sep-14,Sales - Ready," 3,318,328,781 "," 1,657 "
Sep-14,Sales - Off Plan," 2,150,827,654 "," 1,257 "
Aug-14,Sales - Off Plan," 2,006,934,389 "," 1,473 "
Aug-14,Sales - Ready," 3,129,830,178 "," 1,693 "
Jul-14,Sales - Off Plan," 1,192,149,363 "," 1,547 "
Jul-14,Sales - Ready," 2,938,905,215 ", 987 
Jun-14,Sales - Off Plan," 2,665,948,290 "," 1,723 "
