,gsId,name,type,enrollment,gsRating,parentRating,district,address,lat,lon,geometry,neighborhood
121,6391,Leadership High School,charter,261.0,2.0,4.0,San Francisco Unified School District,"350 Seneca Avenue, 
San Francisco, CA  94112",37.721527,-122.44556999999999,POINT (-122.44557 37.721527),Cayuga
122,6392,Lick (James) Middle School,public,599.0,2.0,4.0,San Francisco Unified School District,"1220 Noe Street, 
San Francisco, CA  94114",37.749542,-122.43175,POINT (-122.43175 37.749542),Noe Valley
123,8690,Lick-Wilmerding High School,private,490.0,5.396694214876033,4.0,,"755 Ocean Avenue, 
San Francisco, CA  94112",37.72235,-122.44892,POINT (-122.44892 37.72235),Oceanview
124,6393,Life Learning Academy Charter,charter,22.0,5.396694214876033,4.0,San Francisco Unified School District,"651 Eighth Street, Building 229 Treasure Island, 
San Francisco, CA  94130",37.77091,-122.40478999999999,POINT (-122.40479 37.77091),Showplace Square
125,6394,Lilienthal (Claire) Elementary School,public,678.0,10.0,4.0,San Francisco Unified School District,"3630 Divisadero Street, 
San Francisco, CA  94123",37.803191999999996,-122.4435,POINT (-122.4435 37.803192),Marina
126,6395,Lincoln (Abraham) High School,public,2046.0,8.0,5.0,San Francisco Unified School District,"2162 24th Avenue, 
San Francisco, CA  94116",37.747257,-122.48132,POINT (-122.48132 37.747257),Parkside
127,10622,Lisa Kampner Hebrew Academy,private,37.0,5.396694214876033,3.0,,"645 14th Avenue, 
San Francisco, CA  94118",37.776123,-122.47286000000001,POINT (-122.47286 37.776123),Inner Richmond
128,8489,Live Oak School,private,400.0,5.396694214876033,5.0,,"1555 Mariposa Street, 
San Francisco, CA  94107",37.76354,-122.39906,POINT (-122.39906 37.76354),Potrero Hill
129,11441,Living Hope Christian,private,379.1877551020408,5.396694214876033,5.0,,"1209 Geneva Avenue, 
San Francisco, CA  94112",37.7142,-122.436,POINT (-122.436 37.7142),Excelsior
130,6396,Longfellow Elementary School,public,570.0,4.0,4.0,San Francisco Unified School District,"755 Morse Street, 
San Francisco, CA  94112",37.71046,-122.44769,POINT (-122.44769 37.71046),Crocker Amazon
132,6397,Lowell High School,public,2685.0,10.0,4.0,San Francisco Unified School District,"1101 Eucalyptus Drive, 
San Francisco, CA  94132",37.731045,-122.48355,POINT (-122.48355 37.731045),Lakeshore
133,6398,Malcolm X Academy,public,85.0,3.0,5.0,San Francisco Unified School District,"350 Harbor Road, 
San Francisco, CA  94124",37.733734000000005,-122.38061,POINT (-122.38061 37.73373400000001),Bayview
134,8809,Maria Montessori School,private,379.1877551020408,5.396694214876033,5.0,,"678 Portola Dr, 
San Francisco, CA  94127",37.74501,-122.45343000000001,POINT (-122.45343 37.74501),Laguna Honda
135,25528,Marin Preparatory School,private,145.0,5.396694214876033,5.0,,"117 Diamond Street, 
San Francisco, CA  94114",37.760220000000004,-122.4369,POINT (-122.4369 37.76022),Castro
136,6400,Marina Middle School,public,779.0,7.0,4.0,San Francisco Unified School District,"3500 Fillmore Street, 
San Francisco, CA  94123",37.80167,-122.43636000000001,POINT (-122.43636 37.80167),Marina
137,6404,Marshall (Thurgood) High School,public,638.0,2.0,4.0,San Francisco Unified School District,"45 Conkling Street, 
San Francisco, CA  94124",37.735718,-122.40188,POINT (-122.40188 37.735718),Silver Terrace
