,neighborhood,arson,assault,bad checks,bribery,burglary,disorderly conduct,driving under the influence,drug/narcotic,drunkenness,embezzlement,extortion,family offenses,forgery/counterfeiting,fraud,gambling,kidnapping,larceny/theft,liquor laws,loitering,missing person,non-criminal,other offenses,pornography/obscene mat,prostitution,recovered vehicle,robbery,runaway,secondary codes,"sex offenses, forcible","sex offenses, non forcible",stolen property,suicide,suspicious occ,trea,trespass,vandalism,vehicle theft,warrants,weapon laws,totalincidents
0,Alamo Square,2.0,91.0,0.0,0.0,91.0,3.0,2.0,17.0,1.0,4.0,0.0,0.0,6.0,26.0,1.0,2.0,536.0,1.0,0.0,20.0,110.0,179.0,0.0,1.0,4.0,55.0,0.0,9.0,5.0,0.0,8.0,1.0,50.0,0.0,9.0,77.0,101.0,35.0,11.0,1458.0
1,Anza Vista,4.0,87.0,0.0,0.0,79.0,3.0,8.0,16.0,0.0,3.0,1.0,1.0,14.0,24.0,0.0,2.0,501.0,1.0,0.0,53.0,102.0,125.0,0.0,1.0,3.0,30.0,1.0,18.0,2.0,0.0,10.0,0.0,42.0,0.0,14.0,63.0,79.0,36.0,11.0,1334.0
2,Apparel City,4.0,99.0,1.0,0.0,40.0,2.0,6.0,35.0,3.0,3.0,0.0,1.0,10.0,13.0,0.0,3.0,173.0,0.0,0.0,6.0,72.0,312.0,0.0,0.0,8.0,39.0,0.0,5.0,3.0,0.0,4.0,0.0,44.0,0.0,8.0,56.0,82.0,53.0,9.0,1094.0
3,Aquatic Park / Ft. Mason,0.0,50.0,0.0,0.0,34.0,2.0,4.0,10.0,4.0,1.0,0.0,0.0,2.0,14.0,0.0,2.0,653.0,0.0,0.0,7.0,137.0,99.0,0.0,1.0,4.0,18.0,0.0,6.0,1.0,0.0,11.0,0.0,31.0,0.0,5.0,84.0,65.0,13.0,6.0,1264.0
4,Ashbury Heights,2.0,20.0,0.0,0.0,66.0,1.0,0.0,8.0,2.0,1.0,0.0,1.0,10.0,14.0,0.0,0.0,131.0,0.0,0.0,16.0,55.0,58.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,3.0,2.0,27.0,0.0,4.0,35.0,92.0,10.0,1.0,573.0
5,Balboa Terrace,0.0,25.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,1.0,14.0,26.0,27.0,0.0,0.0,0.0,9.0,1.0,12.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,35.0,12.0,2.0,8.0,253.0
6,Bayview,46.0,1588.0,1.0,18.0,347.0,24.0,36.0,937.0,41.0,15.0,4.0,14.0,96.0,106.0,3.0,57.0,958.0,19.0,9.0,478.0,941.0,2895.0,1.0,6.0,109.0,366.0,20.0,274.0,64.0,4.0,39.0,4.0,594.0,0.0,75.0,679.0,686.0,752.0,362.0,12668.0
7,Bernal Heights,12.0,704.0,3.0,4.0,239.0,14.0,13.0,189.0,26.0,2.0,4.0,5.0,61.0,105.0,1.0,17.0,1015.0,14.0,1.0,306.0,561.0,980.0,0.0,0.0,45.0,180.0,9.0,107.0,38.0,2.0,24.0,5.0,231.0,1.0,43.0,369.0,614.0,260.0,75.0,6279.0
8,Bret Harte,28.0,561.0,4.0,1.0,175.0,13.0,6.0,180.0,10.0,3.0,2.0,2.0,22.0,34.0,0.0,24.0,301.0,4.0,2.0,192.0,252.0,652.0,0.0,1.0,38.0,128.0,6.0,91.0,24.0,2.0,8.0,0.0,182.0,0.0,41.0,309.0,260.0,177.0,100.0,3835.0
9,Buena Vista,3.0,98.0,1.0,1.0,145.0,8.0,4.0,39.0,7.0,2.0,0.0,1.0,16.0,44.0,0.0,5.0,463.0,2.0,0.0,165.0,231.0,243.0,0.0,0.0,11.0,28.0,168.0,16.0,15.0,0.0,9.0,1.0,58.0,0.0,7.0,97.0,280.0,77.0,10.0,2255.0
10,Candlestick Point SRA,4.0,54.0,0.0,0.0,7.0,6.0,0.0,10.0,25.0,1.0,0.0,0.0,4.0,10.0,0.0,2.0,76.0,1.0,0.0,7.0,50.0,76.0,0.0,2.0,3.0,4.0,0.0,7.0,2.0,1.0,2.0,0.0,19.0,0.0,2.0,19.0,23.0,19.0,5.0,441.0
11,Castro,2.0,372.0,2.0,2.0,129.0,11.0,7.0,130.0,51.0,4.0,0.0,1.0,58.0,106.0,1.0,7.0,784.0,6.0,1.0,42.0,657.0,342.0,0.0,1.0,6.0,82.0,0.0,26.0,16.0,0.0,25.0,0.0,128.0,0.0,33.0,189.0,142.0,200.0,22.0,3585.0
12,Cathedral Hill,7.0,278.0,3.0,0.0,211.0,16.0,19.0,188.0,10.0,8.0,2.0,0.0,48.0,114.0,0.0,14.0,1902.0,2.0,24.0,68.0,414.0,635.0,0.0,48.0,12.0,92.0,2.0,25.0,24.0,1.0,38.0,3.0,117.0,0.0,47.0,300.0,243.0,180.0,24.0,5119.0
13,Cayuga,3.0,318.0,0.0,2.0,81.0,6.0,7.0,101.0,10.0,4.0,3.0,1.0,32.0,34.0,1.0,9.0,357.0,5.0,0.0,70.0,261.0,574.0,0.0,3.0,20.0,135.0,3.0,56.0,22.0,3.0,18.0,3.0,99.0,0.0,14.0,184.0,264.0,117.0,47.0,2867.0
14,Central Waterfront,12.0,60.0,1.0,0.0,93.0,4.0,3.0,60.0,0.0,7.0,0.0,0.0,3.0,17.0,0.0,1.0,212.0,0.0,0.0,12.0,109.0,289.0,0.0,1.0,26.0,16.0,0.0,10.0,3.0,0.0,9.0,0.0,51.0,0.0,16.0,82.0,112.0,61.0,12.0,1282.0
15,Chinatown,14.0,424.0,4.0,1.0,175.0,20.0,4.0,66.0,19.0,1.0,8.0,1.0,46.0,112.0,3.0,10.0,914.0,5.0,2.0,96.0,619.0,514.0,0.0,11.0,10.0,122.0,3.0,46.0,28.0,0.0,16.0,4.0,169.0,0.0,32.0,292.0,112.0,133.0,33.0,4069.0
16,Civic Center,10.0,975.0,8.0,2.0,245.0,101.0,14.0,1450.0,37.0,7.0,1.0,1.0,107.0,176.0,0.0,14.0,2632.0,22.0,22.0,118.0,1294.0,1919.0,1.0,3.0,30.0,354.0,2.0,90.0,49.0,0.0,106.0,3.0,358.0,0.0,171.0,385.0,235.0,877.0,126.0,11945.0
17,Clarendon Heights,0.0,24.0,0.0,0.0,38.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,123.0,0.0,0.0,8.0,34.0,38.0,0.0,0.0,4.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,15.0,0.0,2.0,30.0,43.0,10.0,0.0,406.0
18,Cole Valley,1.0,46.0,0.0,0.0,41.0,3.0,3.0,26.0,8.0,3.0,0.0,0.0,3.0,18.0,0.0,0.0,136.0,2.0,0.0,122.0,109.0,108.0,0.0,0.0,1.0,13.0,8.0,4.0,2.0,0.0,3.0,1.0,38.0,0.0,7.0,52.0,49.0,27.0,6.0,840.0
19,Corona Heights,1.0,34.0,0.0,0.0,53.0,4.0,8.0,7.0,1.0,1.0,0.0,0.0,5.0,14.0,0.0,0.0,143.0,0.0,0.0,10.0,55.0,82.0,0.0,0.0,2.0,6.0,0.0,8.0,2.0,0.0,1.0,0.0,21.0,0.0,10.0,53.0,72.0,8.0,1.0,602.0
20,Cow Hollow,4.0,47.0,2.0,0.0,82.0,4.0,4.0,8.0,5.0,2.0,0.0,0.0,5.0,22.0,0.0,0.0,293.0,0.0,0.0,9.0,115.0,89.0,0.0,6.0,5.0,14.0,0.0,2.0,3.0,0.0,6.0,0.0,38.0,0.0,5.0,58.0,88.0,26.0,3.0,945.0
21,Crocker Amazon,3.0,297.0,0.0,1.0,83.0,5.0,7.0,87.0,3.0,5.0,0.0,0.0,28.0,38.0,2.0,10.0,236.0,7.0,0.0,128.0,228.0,497.0,0.0,0.0,21.0,95.0,10.0,49.0,20.0,2.0,17.0,1.0,100.0,0.0,12.0,148.0,280.0,75.0,37.0,2532.0
22,Diamond Heights,1.0,59.0,1.0,1.0,47.0,0.0,2.0,9.0,1.0,2.0,0.0,0.0,11.0,14.0,0.0,2.0,153.0,0.0,0.0,11.0,91.0,88.0,0.0,0.0,8.0,14.0,0.0,12.0,3.0,1.0,2.0,0.0,21.0,0.0,3.0,55.0,68.0,16.0,6.0,702.0
23,Dogpatch,1.0,74.0,0.0,0.0,68.0,2.0,0.0,23.0,2.0,2.0,0.0,0.0,3.0,10.0,0.0,3.0,521.0,2.0,0.0,15.0,88.0,141.0,0.0,2.0,11.0,19.0,0.0,10.0,3.0,0.0,7.0,0.0,49.0,0.0,13.0,126.0,118.0,31.0,5.0,1349.0
24,Dolores Heights,3.0,138.0,0.0,1.0,235.0,7.0,17.0,79.0,4.0,1.0,1.0,0.0,24.0,55.0,0.0,6.0,633.0,5.0,0.0,46.0,237.0,301.0,0.0,5.0,12.0,72.0,0.0,23.0,23.0,1.0,15.0,2.0,111.0,0.0,17.0,177.0,349.0,63.0,16.0,2679.0
25,Downtown / Union Square,17.0,1005.0,12.0,3.0,751.0,66.0,15.0,447.0,88.0,68.0,3.0,4.0,210.0,584.0,3.0,19.0,6124.0,22.0,5.0,140.0,1920.0,1483.0,3.0,64.0,15.0,448.0,3.0,94.0,57.0,0.0,112.0,2.0,431.0,0.0,230.0,417.0,189.0,833.0,78.0,15965.0
26,Duboce Triangle,7.0,280.0,0.0,2.0,169.0,14.0,13.0,152.0,18.0,4.0,0.0,0.0,49.0,86.0,0.0,2.0,915.0,8.0,1.0,100.0,432.0,396.0,0.0,2.0,11.0,92.0,0.0,25.0,12.0,1.0,28.0,2.0,123.0,0.0,35.0,191.0,240.0,233.0,22.0,3665.0
27,Eureka Valley,3.0,105.0,0.0,1.0,123.0,5.0,8.0,39.0,6.0,1.0,0.0,0.0,18.0,31.0,0.0,4.0,361.0,1.0,0.0,22.0,163.0,200.0,0.0,0.0,8.0,27.0,3.0,17.0,7.0,0.0,7.0,2.0,65.0,0.0,16.0,104.0,254.0,31.0,6.0,1638.0
28,Excelsior,6.0,618.0,5.0,7.0,144.0,6.0,10.0,151.0,11.0,3.0,1.0,5.0,76.0,62.0,1.0,26.0,431.0,3.0,3.0,310.0,418.0,863.0,0.0,4.0,48.0,180.0,20.0,98.0,44.0,5.0,29.0,2.0,203.0,0.0,15.0,259.0,623.0,139.0,71.0,4900.0
29,Fairmount,0.0,57.0,0.0,1.0,73.0,0.0,8.0,35.0,1.0,0.0,0.0,0.0,13.0,23.0,0.0,1.0,216.0,1.0,0.0,26.0,100.0,213.0,0.0,0.0,11.0,18.0,0.0,17.0,4.0,1.0,2.0,1.0,48.0,0.0,5.0,74.0,148.0,24.0,11.0,1132.0
30,Financial District,13.0,532.0,10.0,0.0,324.0,31.0,8.0,64.0,31.0,29.0,5.0,0.0,166.0,266.0,0.0,8.0,2464.0,2.0,8.0,95.0,1129.0,709.0,0.0,3.0,19.0,197.0,3.0,50.0,28.0,1.0,38.0,2.0,286.0,0.0,114.0,349.0,170.0,205.0,48.0,7407.0
31,Fishermans Wharf,4.0,345.0,0.0,1.0,190.0,26.0,3.0,44.0,23.0,16.0,0.0,0.0,49.0,153.0,5.0,4.0,2618.0,6.0,1.0,58.0,868.0,419.0,1.0,1.0,6.0,86.0,3.0,33.0,18.0,1.0,41.0,0.0,135.0,1.0,73.0,307.0,135.0,146.0,28.0,5848.0
32,Forest Hill,1.0,19.0,1.0,0.0,36.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,80.0,0.0,0.0,8.0,31.0,32.0,0.0,0.0,1.0,11.0,0.0,4.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,35.0,26.0,3.0,1.0,321.0
33,Forest Knolls,1.0,7.0,0.0,0.0,18.0,3.0,1.0,6.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,48.0,0.0,0.0,4.0,25.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,1.0,17.0,27.0,1.0,0.0,219.0
34,Glen Park,3.0,83.0,1.0,0.0,58.0,3.0,1.0,16.0,2.0,1.0,0.0,0.0,10.0,16.0,0.0,1.0,229.0,0.0,0.0,39.0,116.0,151.0,0.0,0.0,11.0,25.0,2.0,11.0,7.0,0.0,4.0,2.0,55.0,0.0,5.0,109.0,105.0,17.0,16.0,1099.0
35,Golden Gate Heights,8.0,145.0,1.0,2.0,124.0,1.0,6.0,35.0,3.0,0.0,0.0,0.0,27.0,38.0,0.0,6.0,394.0,3.0,0.0,49.0,189.0,230.0,0.0,5.0,10.0,25.0,1.0,30.0,9.0,0.0,6.0,1.0,97.0,0.0,19.0,133.0,178.0,32.0,15.0,1822.0
36,Golden Gate Park,4.0,203.0,0.0,0.0,35.0,10.0,28.0,466.0,13.0,1.0,1.0,0.0,7.0,39.0,0.0,3.0,1465.0,10.0,5.0,62.0,606.0,700.0,0.0,0.0,25.0,60.0,1.0,11.0,18.0,0.0,14.0,0.0,110.0,0.0,13.0,168.0,210.0,283.0,43.0,4614.0
