,sale_date,sale_price,pred_lr,pred_rf
18534,2009-01-02,13.270783382522602,13.163128398358822,13.26772731298388
19816,2009-01-05,13.353475098367715,13.493255831301212,13.318648671276476
16521,2009-01-05,14.48333993053993,14.473669297993183,14.519008217557742
20260,2009-01-05,13.610943392223,13.43636328727007,13.563280725970245
15269,2009-01-06,13.321214236149494,13.076134741306305,13.126961546056632
9938,2009-01-06,14.077874822431765,13.77802962064743,14.008122247352366
10856,2009-01-06,13.282780098810234,12.972505263984203,13.2155724089026
9490,2009-01-06,13.155798153490567,13.198848135769367,13.315549933861048
17938,2009-01-07,13.09190416991962,13.155253551900387,13.128946179151667
1528,2009-01-07,13.270783382522602,13.234086483716965,13.447808492353843
789,2009-01-07,13.592367006650065,13.401585586369038,13.375459085699186
11900,2009-01-07,13.17115354157376,13.238450586795807,13.330069703426433
8499,2009-01-08,13.296316684527767,13.160469591617584,13.100055075169298
17823,2009-01-08,13.279367126213991,13.392398692667484,13.261437521644071
10987,2009-01-08,13.398478813484646,13.317097455263138,13.192998974734394
16932,2009-01-08,13.112313041550827,12.657756425440311,13.065323242767231
17559,2009-01-08,13.885502929784307,14.01712778955698,14.071142161807666
9748,2009-01-09,13.142166004700508,12.986214607954025,12.917875318034492
20771,2009-01-09,13.227173741756674,12.966606490314007,13.266954888511128
1355,2009-01-09,13.317930160948306,13.399388700723648,13.321146286870455
22899,2009-01-09,12.188417710291452,12.663632802665234,12.241365110310815
22305,2009-01-09,12.966878474563934,12.722914792597294,12.961189575206372
12653,2009-01-12,13.226723392728571,12.990940257906914,13.118703358008387
4980,2009-01-12,13.845069360205818,13.437040887773037,13.57513230773145
404,2009-01-13,13.411294669256543,13.28332781791687,13.358295859730985
17461,2009-01-13,13.239257128875828,13.067834712564945,13.132840986750498
2438,2009-01-13,13.457406021215947,13.11932522058487,13.438679875302839
22217,2009-01-14,13.244581010128574,13.218560926616192,13.052456448224094
6492,2009-01-14,13.122363377404328,13.061430968344212,13.145212741354099
6205,2009-01-15,13.954402556830892,13.994507379829884,14.181434234317642
8883,2009-01-16,13.17115354157376,13.064626581966877,13.084936259216207
21403,2009-01-16,13.102160670086805,12.879155687987804,13.153961584287906
19092,2009-01-16,12.644327576461327,12.810758650302887,12.814454962612094
8632,2009-01-16,13.478217984959162,13.477676033973694,13.520673713155693
22185,2009-01-16,13.142185612351415,12.775714688003063,12.952236813788737
6612,2009-01-16,13.493926933836812,13.453298397362232,13.62304255867363
17605,2009-01-16,14.220975666072441,14.398707151412964,14.548345338286223
17624,2009-01-16,13.172866359577437,13.026895873248577,13.211911376161837
15619,2009-01-16,13.726679344257658,13.644931569695473,13.392519692160793
12644,2009-01-18,13.75894020647588,13.67138347774744,13.885687924199967
17525,2009-01-20,13.353475098367715,13.224429331719875,13.1471157788998
7155,2009-01-20,13.09190416991962,13.095492653548717,13.141329950411263
8490,2009-01-21,13.321214236149494,13.479457169771194,13.186413691255831
21921,2009-01-21,13.122363377404328,13.538391351699829,13.338774536435777
