,sale_date,neighborhood
2622,2016-06-01,Outer Sunset
2623,2012-10-05,Parkside
2624,2018-12-31,Parkside
2625,2012-08-16,Parkside
2626,2009-06-11,Parkside
2627,2016-07-22,Outer Sunset
2628,2018-08-03,Outer Sunset
2629,2011-06-30,Parkside
2630,2010-06-08,Seacliff
2631,2013-06-07,Seacliff
2632,2012-08-28,Seacliff
2633,2012-11-08,Seacliff
2634,2015-01-22,Lakeshore
2635,2009-04-01,Outer Sunset
2636,2010-02-10,Parkside
2637,2009-08-10,Outer Sunset
2638,2012-05-08,Seacliff
2639,2013-06-28,Parkside
2640,2011-06-17,Parkside
2641,2010-05-19,Parkside
2642,2014-04-30,Parkside
2643,2011-08-24,Outer Sunset
2644,2013-09-19,Parkside
2645,2018-04-30,Outer Sunset
2646,2010-04-16,Seacliff
2647,2018-11-02,Outer Sunset
2648,2013-09-13,Outer Richmond
2649,2014-05-12,Outer Richmond
2650,2013-12-23,Outer Sunset
2651,2012-06-20,Outer Sunset
2652,2017-01-25,Outer Sunset
2653,2013-03-24,Parkside
2654,2018-09-28,Parkside
2655,2009-08-18,Outer Richmond
2656,2013-09-04,Outer Sunset
2657,2013-04-29,Outer Sunset
2658,2011-11-10,Parkside
2659,2017-06-16,Outer Richmond
2660,2018-10-02,Outer Richmond
2661,2015-06-09,Seacliff
2662,2010-12-22,Seacliff
2663,2016-08-04,Parkside
2664,2010-03-04,Outer Sunset
2665,2015-09-04,Outer Richmond
2666,2013-01-29,Outer Sunset
2667,2015-12-18,Outer Sunset
2668,2014-11-07,Outer Sunset
2669,2014-04-04,Parkside
2670,2017-08-22,Outer Richmond
2671,2010-11-30,Outer Sunset
2672,2014-11-18,Outer Sunset
2673,2016-09-14,Outer Richmond
2674,2011-06-10,Outer Richmond
2675,2010-09-15,Lakeshore
2676,2017-08-09,Outer Richmond
2677,2018-11-15,Outer Sunset
2678,2009-06-23,Seacliff
2679,2017-11-21,Parkside
2680,2009-08-24,Outer Sunset
2681,2009-08-07,Outer Sunset
2682,2011-07-12,Outer Sunset
2683,2013-12-13,Outer Sunset
2684,2016-01-05,Outer Sunset
2685,2013-04-05,Parkside
2686,2014-07-08,Parkside
2687,2009-03-13,Parkside
2688,2010-11-12,Parkside
2689,2017-07-25,Outer Sunset
2690,2015-10-29,Lakeshore
2691,2015-09-18,Parkside
2692,2014-04-18,Lakeshore
2693,2011-12-29,Lakeshore
2694,2017-05-02,Parkside
2695,2018-11-27,Parkside
2696,2014-11-25,Parkside
2697,2016-10-20,Outer Sunset
2698,2010-05-21,Parkside
2699,2010-08-05,Outer Sunset
2700,2013-02-15,Parkside
2701,2014-06-25,Parkside
2702,2009-03-23,Parkside
2703,2009-09-30,Outer Sunset
2704,2012-08-08,Outer Sunset
2705,2016-06-07,Outer Sunset
2706,2016-10-26,Outer Sunset
2707,2018-04-05,Outer Sunset
2708,2010-03-19,Parkside
2709,2018-04-26,Parkside
2710,2010-04-30,Outer Sunset
2711,2011-12-19,Seacliff
2712,2015-05-27,Seacliff
2713,2009-09-30,Outer Sunset
2714,2012-04-12,Outer Sunset
2715,2012-07-30,Outer Sunset
2716,2015-12-03,Outer Sunset
2717,2015-06-23,Outer Richmond
2718,2009-12-04,Parkside
2719,2016-07-19,Parkside
2720,2010-05-04,Outer Sunset
2721,2017-08-18,Parkside
2722,2015-01-21,Outer Sunset
2723,2010-01-21,Seacliff
2724,2012-03-16,Outer Sunset
2725,2013-12-04,Outer Sunset
2726,2016-03-23,Outer Sunset
2727,2017-10-13,Outer Richmond
2728,2010-06-02,Outer Richmond
2729,2013-10-22,Outer Sunset
2730,2017-07-04,Outer Sunset
2731,2013-10-11,Parkside
2732,2009-10-30,Outer Sunset
2733,2016-08-26,Outer Sunset
2734,2015-01-30,Parkside
2735,2011-11-17,Outer Sunset
2736,2018-10-19,Outer Sunset
2737,2009-08-11,Outer Sunset
2738,2013-10-09,Outer Sunset
2739,2018-09-19,Outer Sunset
2740,2015-12-30,Parkside
2741,2014-10-22,Parkside
2742,2014-09-03,Outer Sunset
2743,2009-11-25,Outer Sunset
2744,2015-03-17,Seacliff
2745,2015-07-31,Seacliff
2746,2014-08-19,Parkside
2747,2009-07-28,Outer Sunset
2748,2012-03-09,Outer Sunset
2749,2013-02-14,Outer Sunset
2750,2014-01-17,Outer Sunset
2751,2011-12-01,Outer Sunset
2752,2009-12-17,Outer Sunset
2753,2009-06-05,Outer Richmond
2754,2012-08-24,Outer Sunset
2755,2017-04-18,Seacliff
2756,2014-01-03,Lakeshore
2757,2010-11-19,Parkside
2758,2010-11-17,Parkside
2759,2015-04-29,Parkside
2760,2010-12-30,Parkside
2761,2017-11-17,Parkside
2762,2011-12-12,Parkside
2763,2015-08-28,Parkside
2764,2016-04-22,Parkside
2765,2014-02-05,Outer Sunset
2766,2014-07-02,Parkside
2767,2014-12-18,Parkside
2768,2013-03-21,Outer Sunset
2769,2015-12-18,Outer Sunset
2770,2010-08-31,Parkside
2771,2010-11-08,Outer Sunset
2772,2017-11-08,Outer Sunset
2773,2013-05-21,Seacliff
2774,2012-11-16,Parkside
2775,2009-01-23,Outer Sunset
2776,2014-11-26,Outer Richmond
2777,2009-11-30,Outer Sunset
2778,2015-10-22,Outer Sunset
2779,2012-10-17,Outer Sunset
2780,2012-10-12,Outer Richmond
2781,2015-11-25,Outer Richmond
2782,2010-03-01,Seacliff
2783,2017-07-14,Outer Sunset
2784,2010-07-02,Outer Richmond
2785,2018-11-29,Parkside
2786,2018-10-04,Outer Richmond
2787,2015-11-18,Outer Sunset
2788,2016-05-23,Outer Sunset
2789,2013-08-30,Outer Sunset
2790,2012-05-31,Outer Richmond
2791,2018-08-21,Outer Richmond
2792,2011-05-19,Outer Sunset
2793,2018-03-23,Outer Sunset
2794,2015-08-07,Parkside
2795,2016-04-22,Parkside
2796,2014-02-21,Outer Richmond
2797,2012-03-27,Outer Richmond
2798,2018-04-12,Parkside
2799,2016-02-10,Outer Richmond
2800,2010-09-15,Seacliff
2801,2013-10-24,Parkside
2802,2015-08-07,Parkside
2803,2016-12-16,Outer Richmond
2804,2009-09-18,Outer Richmond
2805,2013-08-15,Outer Richmond
2806,2013-11-26,Outer Richmond
2807,2016-10-03,Parkside
2808,2010-03-31,Seacliff
2809,2010-09-28,Outer Sunset
2810,2015-10-16,Parkside
2811,2017-04-26,Parkside
2812,2011-09-27,Outer Sunset
2813,2011-06-20,Parkside
2814,2009-08-18,Outer Sunset
2815,2009-12-04,Outer Sunset
2816,2017-09-26,Outer Sunset
2817,2010-05-18,Seacliff
2818,2009-05-28,Outer Sunset
2819,2016-05-31,Outer Sunset
2820,2011-09-02,Outer Sunset
2821,2012-12-14,Outer Richmond
2822,2016-04-22,Outer Richmond
2823,2017-06-23,Outer Richmond
2824,2014-04-11,Outer Richmond
2825,2015-10-16,Outer Richmond
2826,2014-12-31,Parkside
2827,2016-09-08,Parkside
2828,2015-03-17,Outer Richmond
2829,2016-10-25,Outer Richmond
2830,2014-07-09,Parkside
2831,2016-09-01,Parkside
2832,2013-06-26,Parkside
2833,2009-03-10,Seacliff
2834,2010-01-26,Outer Sunset
2835,2009-11-12,Outer Sunset
2836,2015-11-12,Outer Richmond
2837,2013-10-01,Parkside
2838,2013-03-22,Outer Sunset
2839,2016-04-19,Outer Sunset
2840,2012-04-27,Outer Sunset
2841,2016-07-08,Outer Sunset
2842,2013-12-06,Outer Sunset
2843,2012-04-27,Outer Sunset
2844,2014-03-06,Outer Sunset
2845,2018-12-04,Outer Sunset
2846,2010-05-28,Parkside
2847,2009-07-22,Parkside
2848,2009-08-31,Parkside
2849,2009-05-28,Parkside
2850,2017-06-29,Parkside
2851,2013-03-26,Seacliff
2852,2015-03-09,Seacliff
2853,2013-06-11,Outer Sunset
2854,2009-07-21,Outer Sunset
2855,2011-11-18,Seacliff
2856,2015-03-20,Outer Sunset
2857,2016-01-22,Outer Sunset
2858,2012-10-12,Seacliff
2859,2011-11-15,Seacliff
2860,2013-06-04,Parkside
2861,2011-06-30,Parkside
2862,2015-10-28,Parkside
2863,2018-09-10,Outer Sunset
2864,2012-09-11,Lakeshore
2865,2016-08-08,Outer Sunset
2866,2016-12-29,Seacliff
2867,2018-10-01,Seacliff
2868,2013-01-09,Seacliff
2869,2010-04-07,Outer Sunset
2870,2011-04-22,Seacliff
2871,2018-05-22,Seacliff
2872,2012-07-04,Parkside
2873,2010-10-15,Outer Sunset
2874,2013-04-30,Outer Sunset
2875,2013-06-25,Outer Sunset
2876,2012-02-14,Outer Sunset
2877,2015-01-28,Outer Richmond
2878,2018-02-27,Outer Richmond
2879,2009-05-21,Outer Sunset
2880,2014-05-22,Outer Sunset
2881,2015-11-25,Outer Richmond
2882,2018-05-11,Parkside
2883,2016-08-30,Outer Richmond
2884,2017-03-29,Outer Richmond
2885,2013-06-14,Outer Richmond
2886,2013-11-07,Outer Richmond
2887,2013-10-29,Outer Sunset
2888,2015-05-22,Outer Sunset
2889,2014-04-04,Outer Richmond
2890,2009-11-13,Outer Sunset
2891,2018-10-26,Lakeshore
2892,2010-07-02,Outer Richmond
2893,2018-12-26,Parkside
2894,2011-07-22,Outer Sunset
2895,2011-12-08,Outer Sunset
2896,2011-12-09,Outer Sunset
2897,2009-08-11,Seacliff
2898,2013-07-03,Outer Sunset
2899,2010-07-21,Outer Sunset
2900,2016-12-16,Parkside
2901,2013-10-25,Parkside
2902,2011-07-07,Outer Sunset
2903,2011-06-22,Parkside
2904,2016-11-18,Outer Sunset
2905,2015-05-29,Outer Richmond
2906,2016-12-08,Outer Richmond
2907,2012-05-07,Seacliff
2908,2016-12-06,Seacliff
2909,2013-08-09,Outer Sunset
2910,2011-07-11,Outer Sunset
2911,2017-06-13,Outer Sunset
2912,2017-03-10,Outer Sunset
2913,2014-11-25,Merced Manor
2914,2014-04-22,Parkside
2915,2010-01-22,Parkside
2916,2010-05-11,Outer Sunset
2917,2010-11-19,Outer Sunset
2918,2013-04-12,Outer Sunset
2919,2010-01-22,Outer Sunset
2920,2012-12-10,Outer Sunset
2921,2017-03-29,Merced Manor
2922,2016-03-16,Outer Richmond
2923,2018-07-24,Outer Richmond
2924,2016-07-15,Outer Sunset
2925,2012-10-31,Merced Manor
2926,2013-06-11,Merced Manor
2927,2018-03-15,Outer Sunset
2928,2009-06-03,Merced Manor
2929,2010-06-08,Parkside
2930,2018-11-09,Parkside
2931,2014-06-12,Outer Richmond
2932,2012-02-10,Outer Richmond
2933,2009-11-04,Outer Richmond
2934,2011-04-19,Merced Manor
2935,2015-10-22,Parkside
2936,2012-07-27,Parkside
2937,2014-07-31,Parkside
2938,2010-07-06,Outer Sunset
2939,2016-05-06,Outer Sunset
2940,2015-11-20,Outer Richmond
2941,2016-07-29,Parkside
2942,2010-12-01,Parkside
2943,2014-09-30,Outer Sunset
2944,2013-08-12,Parkside
2945,2015-04-02,Parkside
2946,2011-04-29,Parkside
2947,2011-10-20,Parkside
2948,2012-08-16,Lakeshore
2949,2015-12-29,Lakeshore
2950,2009-10-06,Parkside
2951,2017-10-12,Parkside
2952,2009-05-04,Outer Richmond
2953,2015-06-09,Outer Richmond
2954,2012-06-04,Merced Manor
2955,2011-03-01,Parkside
2956,2013-01-31,Parkside
2957,2009-10-13,Outer Sunset
2958,2014-06-18,Merced Manor
2959,2018-03-09,Parkside
2960,2010-05-05,Merced Manor
2961,2017-08-25,Parkside
2962,2009-08-21,Outer Richmond
2963,2009-08-20,Outer Sunset
2964,2010-03-31,Parkside
2965,2010-07-30,Parkside
2966,2009-08-19,Parkside
2967,2009-04-24,Parkside
2968,2014-06-09,Parkside
2969,2015-10-26,Outer Richmond
2970,2017-01-12,Outer Richmond
2971,2015-08-07,Parkside
2972,2014-10-07,Parkside
2973,2009-11-24,Outer Sunset
2974,2011-08-29,Outer Sunset
2975,2011-01-25,Parkside
2976,2011-03-17,Outer Sunset
2977,2013-07-10,Parkside
2978,2016-04-29,Parkside
2979,2016-04-15,Outer Richmond
2980,2018-06-18,Outer Richmond
2981,2017-01-05,Outer Sunset
2982,2017-11-17,Outer Sunset
2983,2010-02-12,Outer Richmond
2984,2017-01-18,Parkside
2985,2017-11-03,Outer Sunset
2986,2018-06-11,Parkside
2987,2010-06-15,Outer Sunset
2988,2018-05-31,Outer Richmond
2989,2014-04-03,Parkside
2990,2018-10-25,Parkside
2991,2017-05-10,Parkside
2992,2011-09-13,Outer Sunset
2993,2016-05-20,Outer Sunset
2994,2012-07-27,Parkside
2995,2016-06-03,Outer Sunset
2996,2011-05-06,Outer Sunset
2997,2010-02-03,Outer Sunset
2998,2011-03-11,Parkside
2999,2012-03-21,Seacliff
3000,2013-06-18,Outer Sunset
3001,2011-06-08,Parkside
3002,2010-06-04,Parkside
3003,2012-10-15,Outer Richmond
3004,2015-04-21,Outer Richmond
3005,2016-10-28,Outer Richmond
3006,2011-08-19,Parkside
3007,2012-02-17,Parkside
3008,2013-03-27,Outer Richmond
3009,2018-10-05,Outer Richmond
3010,2012-10-10,Outer Richmond
3011,2017-12-21,Outer Sunset
3012,2014-04-18,Outer Sunset
3013,2009-05-20,Seacliff
3014,2011-11-28,Outer Richmond
3015,2011-01-17,Outer Richmond
3016,2016-07-18,Outer Sunset
3017,2018-10-05,Outer Richmond
3018,2012-02-23,Parkside
3019,2011-12-30,Outer Sunset
3020,2009-04-24,Outer Richmond
3021,2018-05-30,Outer Richmond
3022,2011-03-04,Outer Richmond
3023,2013-12-06,Merced Manor
3024,2018-03-09,Parkside
3025,2016-03-07,Seacliff
3026,2015-12-30,Outer Sunset
3027,2017-09-06,Parkside
3028,2010-06-30,Outer Sunset
3029,2016-08-16,Outer Sunset
3030,2018-11-01,Seacliff
3031,2009-04-07,Outer Sunset
3032,2014-09-02,Parkside
3033,2017-07-07,Outer Sunset
3034,2009-10-28,Outer Sunset
3035,2012-10-24,Parkside
3036,2013-03-08,Parkside
3037,2012-07-06,Parkside
3038,2014-10-01,Outer Sunset
3039,2010-09-29,Seacliff
3040,2013-11-05,Parkside
3041,2010-03-08,Outer Sunset
3042,2009-05-12,Parkside
3043,2010-03-23,Outer Sunset
3044,2015-01-08,Parkside
3045,2015-12-29,Parkside
3046,2009-01-23,Outer Sunset
3047,2016-05-31,Parkside
3048,2015-06-23,Parkside
3049,2017-05-22,Parkside
3050,2018-09-24,Parkside
3051,2011-08-29,Parkside
3052,2016-05-16,Seacliff
3053,2018-10-09,Seacliff
3054,2015-03-09,Seacliff
3055,2016-09-15,Seacliff
3056,2010-10-15,Seacliff
3057,2011-03-11,Seacliff
3058,2010-05-26,Parkside
3059,2018-03-12,Parkside
3060,2009-07-24,Outer Sunset
3061,2017-11-15,Outer Richmond
3062,2016-02-24,Seacliff
3063,2011-05-12,Seacliff
3064,2013-06-18,Parkside
3065,2016-07-29,Parkside
3066,2014-04-01,Seacliff
3067,2012-09-26,Seacliff
3068,2018-07-16,Outer Sunset
3069,2015-03-13,Seacliff
3070,2010-12-16,Seacliff
3071,2011-08-24,Outer Sunset
3072,2013-03-08,Outer Sunset
3073,2016-08-31,Outer Sunset
3074,2018-08-08,Merced Manor
3075,2013-12-20,Outer Sunset
3076,2017-12-08,Outer Sunset
3077,2018-12-07,Parkside
3078,2014-09-09,Merced Manor
3079,2016-10-14,Outer Richmond
3080,2015-06-04,Lakeshore
3081,2011-05-27,Outer Sunset
3082,2017-04-21,Merced Manor
3083,2014-11-24,Outer Richmond
3084,2010-01-21,Merced Manor
3085,2018-01-04,Outer Sunset
3086,2017-06-02,Outer Sunset
3087,2018-05-21,Merced Manor
3088,2017-04-03,Outer Sunset
3089,2014-08-07,Outer Sunset
3090,2018-09-13,Merced Manor
3091,2017-05-08,Outer Richmond
3092,2015-07-21,Outer Sunset
3093,2009-09-22,Outer Richmond
3094,2011-12-28,Outer Sunset
3095,2013-01-31,Outer Sunset
3096,2014-08-01,Outer Sunset
3097,2016-09-29,Seacliff
3098,2013-01-16,Outer Sunset
3099,2015-10-15,Outer Sunset
3100,2018-10-24,Merced Manor
3101,2010-09-17,Merced Manor
3102,2017-08-09,Outer Sunset
3103,2013-12-17,Merced Manor
3104,2012-07-27,Outer Richmond
3105,2017-08-28,Outer Richmond
3106,2015-06-25,Merced Manor
3107,2010-04-30,Parkside
3108,2016-09-02,Outer Sunset
3109,2014-05-12,Outer Sunset
3110,2013-11-22,Outer Sunset
3111,2009-10-30,Outer Sunset
3112,2012-11-21,Outer Sunset
3113,2010-08-03,Outer Sunset
3114,2014-07-11,Outer Sunset
3115,2010-05-17,Outer Sunset
3116,2015-07-02,Outer Richmond
3117,2018-02-08,Outer Richmond
3118,2016-09-19,Parkside
3119,2017-06-30,Parkside
3120,2011-09-30,Outer Sunset
3121,2017-01-13,Parkside
3122,2018-11-21,Parkside
3123,2009-12-09,Outer Sunset
3124,2011-12-28,Parkside
3125,2013-07-11,Parkside
3126,2014-09-03,Parkside
3127,2013-08-16,Parkside
3128,2009-11-18,Outer Sunset
3129,2018-09-28,Outer Sunset
3130,2011-09-16,Parkside
3131,2013-02-08,Parkside
3132,2015-06-09,Outer Sunset
3133,2017-04-04,Outer Sunset
3134,2010-07-30,Outer Sunset
3135,2016-10-05,Outer Richmond
3136,2014-09-22,Parkside
3137,2012-03-15,Outer Sunset
3138,2011-03-23,Outer Richmond
3139,2013-05-17,Seacliff
3140,2011-04-29,Parkside
3141,2016-04-19,Parkside
3142,2018-10-12,Parkside
3143,2017-10-27,Outer Richmond
3144,2015-12-18,Outer Sunset
3145,2010-07-16,Outer Richmond
3146,2016-06-10,Outer Richmond
3147,2018-12-03,Outer Richmond
3148,2017-10-31,Parkside
3149,2011-07-08,Outer Richmond
3150,2015-04-17,Seacliff
3151,2011-07-08,Parkside
3152,2011-05-25,Parkside
3153,2018-02-02,Parkside
3154,2011-04-20,Parkside
3155,2017-06-30,Parkside
3156,2015-06-09,Outer Sunset
3157,2018-10-18,Outer Sunset
3158,2015-07-24,Parkside
3159,2014-05-01,Outer Sunset
3160,2017-02-16,Outer Sunset
3161,2009-03-27,Parkside
3162,2012-05-25,Outer Richmond
3163,2016-06-07,Outer Richmond
3164,2017-01-27,Outer Richmond
3165,2017-01-30,Parkside
3166,2010-03-16,Outer Sunset
3167,2009-07-23,Outer Richmond
3168,2009-07-15,Parkside
3169,2016-07-14,Parkside
3170,2010-04-29,Outer Richmond
3171,2013-11-15,Outer Richmond
3172,2017-04-20,Merced Manor
3173,2015-12-11,Parkside
3174,2009-10-16,Parkside
3175,2016-11-10,Seacliff
3176,2011-01-14,Parkside
3177,2015-09-28,Outer Sunset
3178,2016-10-14,Outer Sunset
3179,2016-06-28,Outer Sunset
3180,2017-07-14,Outer Sunset
3181,2014-02-25,Parkside
3182,2017-04-06,Outer Sunset
3183,2014-02-07,Lakeshore
3184,2013-11-05,Parkside
3185,2009-10-15,Outer Richmond
3186,2017-11-14,Outer Richmond
3187,2018-09-28,Parkside
3188,2009-07-29,Outer Sunset
3189,2012-02-10,Outer Sunset
3190,2012-11-06,Outer Richmond
3191,2013-04-25,Seacliff
3192,2015-05-15,Parkside
3193,2009-12-16,Outer Sunset
3194,2010-10-14,Outer Richmond
3195,2015-07-17,Outer Richmond
3196,2017-01-24,Seacliff
3197,2011-08-10,Parkside
3198,2014-11-06,Outer Richmond
3199,2018-07-07,Outer Sunset
3200,2016-07-01,Parkside
3201,2009-08-31,Parkside
3202,2018-03-05,Outer Sunset
3203,2014-06-20,Outer Richmond
3204,2012-01-27,Outer Sunset
3205,2018-03-29,Outer Richmond
3206,2011-06-28,Outer Richmond
3207,2010-06-16,Outer Richmond
3208,2011-04-12,Seacliff
3209,2014-08-15,Seacliff
3210,2013-03-28,Parkside
3211,2010-12-29,Seacliff
3212,2013-07-19,Parkside
3213,2018-03-01,Parkside
3214,2017-09-22,Parkside
3215,2017-06-30,Seacliff
3216,2016-12-09,Outer Sunset
3217,2009-08-14,Seacliff
3218,2017-03-28,Parkside
3219,2016-03-31,Parkside
3220,2012-10-31,Lakeshore
3221,2017-05-15,Outer Sunset
3222,2017-05-05,Seacliff
3223,2011-06-30,Parkside
3224,2011-10-03,Parkside
3225,2016-06-30,Parkside
3226,2016-04-13,Seacliff
3227,2012-04-12,Seacliff
3228,2014-11-25,Seacliff
3229,2017-10-11,Seacliff
3230,2015-10-21,Seacliff
3231,2009-04-29,Parkside
3232,2011-01-14,Outer Sunset
3233,2013-05-09,Outer Sunset
3234,2012-06-21,Parkside
3235,2014-09-18,Parkside
3236,2015-03-11,Outer Sunset
3237,2014-01-06,Outer Sunset
3238,2011-10-04,Merced Manor
3239,2015-12-23,Outer Sunset
3240,2009-11-10,Parkside
3241,2011-06-30,Outer Sunset
3242,2011-02-28,Parkside
3243,2010-06-29,Outer Sunset
3244,2016-05-10,Outer Sunset
3245,2016-12-21,Merced Manor
3246,2012-12-18,Parkside
3247,2015-08-06,Lake Street
3248,2017-07-13,Merced Manor
3249,2010-07-30,Outer Sunset
3250,2013-11-15,Seacliff
3251,2013-09-13,Merced Manor
3252,2018-10-23,Outer Sunset
3253,2010-12-03,Lake Street
3254,2009-01-30,Merced Manor
3255,2014-07-31,Merced Manor
3256,2010-12-09,Outer Sunset
3257,2011-08-11,Outer Sunset
3258,2011-10-18,Outer Sunset
3259,2016-12-08,Merced Manor
3260,2015-02-10,Outer Richmond
3261,2017-11-14,Lakeshore
3262,2011-09-13,Outer Richmond
3263,2009-05-20,Outer Sunset
3264,2011-06-07,Outer Richmond
3265,2011-12-30,Outer Richmond
3266,2012-06-08,Seacliff
3267,2010-04-21,Merced Manor
3268,2012-09-14,Merced Manor
3269,2009-08-03,Outer Richmond
3270,2016-06-20,Outer Richmond
3271,2015-08-20,Merced Manor
3272,2011-08-01,Outer Sunset
3273,2016-10-28,Outer Sunset
3274,2014-08-08,Merced Manor
3275,2013-06-06,Outer Sunset
3276,2014-10-16,Outer Richmond
3277,2017-05-02,Outer Richmond
3278,2018-09-10,Outer Richmond
3279,2012-01-06,Outer Sunset
3280,2014-02-12,Outer Sunset
3281,2017-05-09,Outer Sunset
3282,2018-12-07,Outer Sunset
3283,2012-04-24,Outer Richmond
3284,2014-08-21,Outer Sunset
3285,2011-03-22,Outer Sunset
3286,2018-07-06,Parkside
3287,2009-01-28,Outer Sunset
3288,2015-07-31,Outer Sunset
3289,2014-05-07,Outer Sunset
3290,2011-10-21,Outer Sunset
3291,2011-09-13,Outer Sunset
3292,2014-05-07,Outer Sunset
3293,2016-11-07,Outer Sunset
3294,2014-05-13,Parkside
3295,2018-01-03,Outer Sunset
3296,2014-07-17,Outer Sunset
3297,2009-10-07,Outer Sunset
3298,2018-04-30,Outer Sunset
3299,2015-06-29,Parkside
3300,2011-02-28,Outer Sunset
3301,2011-06-08,Outer Sunset
3302,2015-11-18,Outer Sunset
3303,2011-09-06,Outer Richmond
3304,2015-08-17,Outer Sunset
3305,2012-01-09,Outer Richmond
3306,2011-05-03,Outer Sunset
3307,2011-05-06,Outer Richmond
3308,2016-08-31,Outer Richmond
3309,2017-09-08,Outer Richmond
3310,2014-05-23,Parkside
3311,2015-04-17,Outer Sunset
3312,2018-06-06,Outer Richmond
3313,2018-10-16,Outer Richmond
3314,2014-06-11,Parkside
3315,2013-08-30,Parkside
3316,2013-12-31,Outer Richmond
3317,2015-12-31,Outer Richmond
3318,2017-09-27,Parkside
3319,2018-11-30,Parkside
3320,2013-12-24,Parkside
3321,2012-05-25,Outer Richmond
3322,2009-07-24,Parkside
3323,2012-05-17,Parkside
3324,2013-07-25,Parkside
3325,2014-10-16,Outer Sunset
3326,2010-09-21,Parkside
3327,2018-10-16,Parkside
3328,2018-03-19,Outer Sunset
3329,2015-01-08,Parkside
3330,2015-10-23,Outer Richmond
3331,2016-12-19,Outer Richmond
3332,2012-01-31,Outer Richmond
3333,2016-12-16,Outer Sunset
3334,2010-03-09,Outer Richmond
3335,2018-04-12,Outer Sunset
3336,2009-10-15,Outer Sunset
3337,2018-06-06,Parkside
3338,2018-10-12,Outer Richmond
3339,2015-06-22,Outer Sunset
3340,2017-09-26,Outer Sunset
3341,2013-11-01,Parkside
3342,2013-01-30,Outer Richmond
3343,2015-01-21,Outer Richmond
3344,2018-11-07,Outer Richmond
3345,2010-11-03,Seacliff
3346,2013-09-26,Outer Richmond
3347,2014-04-23,Outer Richmond
3348,2018-07-11,Parkside
3349,2017-09-22,Parkside
3350,2018-04-30,Parkside
3351,2013-06-28,Parkside
3352,2012-06-05,Outer Sunset
3353,2015-05-08,Outer Sunset
3354,2011-08-19,Lakeshore
3355,2014-01-31,Parkside
3356,2014-08-01,Parkside
3357,2015-01-16,Outer Sunset
3358,2013-10-03,Outer Richmond
3359,2014-09-24,Outer Richmond
3360,2014-09-30,Outer Richmond
3361,2018-01-24,Parkside
3362,2014-10-29,Parkside
3363,2012-10-23,Outer Sunset
3364,2009-05-22,Outer Richmond
3365,2010-06-28,Parkside
3366,2012-04-16,Outer Sunset
3367,2009-07-09,Outer Sunset
3368,2018-10-26,Parkside
3369,2017-12-06,Outer Sunset
3370,2012-08-31,Outer Richmond
3371,2009-03-30,Outer Sunset
3372,2018-11-16,Lake Street
3373,2011-06-08,Parkside
3374,2017-01-13,Outer Sunset
3375,2014-12-30,Outer Richmond
3376,2013-11-27,Parkside
3377,2011-12-23,Parkside
3378,2014-06-26,Outer Sunset
3379,2017-03-14,Outer Sunset
3380,2015-11-13,Parkside
3381,2016-06-07,Parkside
3382,2014-04-08,Outer Sunset
3383,2012-12-14,Parkside
3384,2013-10-23,Parkside
3385,2017-12-01,Outer Richmond
3386,2016-12-07,Outer Sunset
3387,2016-02-02,Outer Sunset
3388,2018-05-18,Outer Sunset
3389,2014-04-09,Outer Richmond
3390,2017-05-05,Parkside
3391,2011-05-19,Outer Sunset
3392,2012-12-31,Outer Sunset
3393,2018-12-19,Lake Street
3394,2014-12-30,Parkside
3395,2013-09-13,Outer Richmond
3396,2009-04-16,Parkside
3397,2011-01-31,Outer Sunset
3398,2014-11-07,Outer Richmond
3399,2018-11-02,Merced Manor
3400,2009-03-18,Parkside
3401,2009-10-23,Outer Sunset
3402,2009-02-26,Merced Manor
3403,2011-08-09,Parkside
3404,2018-08-09,Outer Sunset
3405,2009-07-23,Seacliff
3406,2017-01-30,Merced Manor
3407,2010-06-30,Parkside
3408,2014-10-01,Outer Sunset
3409,2010-04-15,Merced Manor
3410,2017-10-20,Seacliff
3411,2016-02-08,Merced Manor
3412,2009-05-22,Parkside
3413,2017-12-04,Seacliff
3414,2012-10-02,Outer Sunset
3415,2012-12-03,Outer Sunset
3416,2012-02-17,Seacliff
3417,2012-10-04,Seacliff
3418,2012-06-22,Merced Manor
3419,2010-05-10,Merced Manor
3420,2011-06-07,Parkside
3421,2009-10-07,Merced Manor
3422,2013-07-11,Parkside
3423,2015-05-11,Seacliff
3424,2018-03-26,Merced Manor
3425,2010-11-04,Parkside
3426,2018-09-07,Parkside
3427,2012-05-08,Seacliff
3428,2016-02-12,Merced Manor
3429,2011-01-25,Merced Manor
3430,2011-10-07,Merced Manor
3431,2011-12-13,Outer Sunset
3432,2009-05-21,Outer Sunset
3433,2016-04-06,Merced Manor
3434,2012-12-11,Outer Sunset
3435,2010-11-24,Merced Manor
3436,2010-06-09,Parkside
3437,2012-08-31,Outer Sunset
3438,2014-03-14,Parkside
3439,2009-07-01,Parkside
3440,2014-06-19,Parkside
3441,2017-07-05,Outer Sunset
3442,2011-11-22,Parkside
3443,2012-03-30,Parkside
3444,2018-09-24,Outer Sunset
3445,2016-12-15,Outer Richmond
3446,2014-12-19,Parkside
3447,2015-08-14,Outer Sunset
3448,2011-09-16,Parkside
3449,2014-12-12,Parkside
3450,2016-08-26,Parkside
3451,2014-11-21,Outer Sunset
